Specimen,PathogenName,AntibioticName,Iso3,CountryTerritoryArea,WHORegionName,InterpretableAST,Resistant,ResistancePercentage
Urinary tract,Klebsiella pneumoniae,Cefepime,ARE,United Arab Emirates,Eastern Mediterranean Region,11442,2067,18.065023597
Urinary tract,Klebsiella pneumoniae,Cefotaxime,ARE,United Arab Emirates,Eastern Mediterranean Region,6055,1565,25.846407927
Urinary tract,Klebsiella pneumoniae,Ceftazidime,ARE,United Arab Emirates,Eastern Mediterranean Region,12369,2788,22.540221522
Urinary tract,Klebsiella pneumoniae,Ceftriaxone,ARE,United Arab Emirates,Eastern Mediterranean Region,7834,2062,26.321164156
Urinary tract,Klebsiella pneumoniae,Ciprofloxacin,ARE,United Arab Emirates,Eastern Mediterranean Region,12461,2991,24.002889014
Urinary tract,Klebsiella pneumoniae,Co-trimoxazole,ARE,United Arab Emirates,Eastern Mediterranean Region,12579,2802,22.275220606
Urinary tract,Klebsiella pneumoniae,Colistin,ARE,United Arab Emirates,Eastern Mediterranean Region,490,128,26.12244898
Urinary tract,Klebsiella pneumoniae,Ertapenem,ARE,United Arab Emirates,Eastern Mediterranean Region,11005,565,5.134029986
Urinary tract,Klebsiella pneumoniae,Imipenem,ARE,United Arab Emirates,Eastern Mediterranean Region,11693,453,3.874112717
Urinary tract,Klebsiella pneumoniae,Levofloxacin,ARE,United Arab Emirates,Eastern Mediterranean Region,2550,501,19.647058824
Urinary tract,Klebsiella pneumoniae,Meropenem,ARE,United Arab Emirates,Eastern Mediterranean Region,12652,473,3.738539361
Urinary tract,Klebsiella pneumoniae,Cefepime,ARG,Argentina,Region of the Americas,5151,2153,41.797709183
Urinary tract,Klebsiella pneumoniae,Cefotaxime,ARG,Argentina,Region of the Americas,3133,1779,56.782636451
Urinary tract,Klebsiella pneumoniae,Ceftazidime,ARG,Argentina,Region of the Americas,5206,2410,46.292739147
Urinary tract,Klebsiella pneumoniae,Ciprofloxacin,ARG,Argentina,Region of the Americas,6361,2982,46.879421475
Urinary tract,Klebsiella pneumoniae,Co-trimoxazole,ARG,Argentina,Region of the Americas,6079,2836,46.652409936
Urinary tract,Klebsiella pneumoniae,Colistin,ARG,Argentina,Region of the Americas,1861,172,9.242342826
Urinary tract,Klebsiella pneumoniae,Imipenem,ARG,Argentina,Region of the Americas,4880,1399,28.668032787
Urinary tract,Klebsiella pneumoniae,Meropenem,ARG,Argentina,Region of the Americas,4924,1445,29.346060114
